ItemID,Name,Processor,RAM GB,Hard Drive,Graphics,Brand,Item Weight,Processor Brand,Memory Type,Hard Drive Interface,Sellers Rank,Date First Available,Rating,Price,Error
2535,"HP Pavilion 550-153wb Desktop PC with Intel Core i3-4170 Dual-Core Processor, 6GB Memory, 23 Monitor, 1TB Hard Drive - Win 10 Ho",Core i3-4170,6,1 TB HDD 7200 rpm,Intel HD Graphics 4400,HP,15 lbs,Intel,DDR3 SDRAM,Serial ATA,"13,441",13-Oct-15,3.6,299,
2536,"Dell Inspiron 3000 Desktop Computer Intel Core i5-8400, Choose 8GB/12GB/16GB/32GB DDR4 RAM, 1TB/2TB Hard Drive,128GB/256GB/512GB/1TB SSD, Monitor Bundle, DVD-RW, 802.11b/g/n, Bluetooth 4.0, HDMI",Intel Core i5,8,1 TB flash_memory_solid_state,Intel HD Graphics 630,Dell,14.1 lbs,Intel,GDDR4,Serial ATA,"54,417",3-Apr-19,"Be the first to review this item  
0.0",559.9,
2537,Dell_XPS 8930 Flagship Premium Desktop Computer | Intel Core i7-8700 6-Core | 24GB Memory (8G RAM+16G Optane) | 1TB Hard Drive |NVIDIA GeForce GT 1030 | Keyboard and Mouse | Windows 10,Intel Core i7,8,1 TB,NVIDIA GeForce GT 1030,Dell,—,Intel,GDDR4,Serial ATA,"11,127",6-Jan-19,3.8,"1,000.97",
2538,Dell Inspiron 660 Desktop Computer - Intel Core i3 i3-3240 3.40 GHz - Mini-tower - Black,Intel Core i3,,1 GB,Intel HD,Dell,17.42 lbs,Intel,DDR3 SDRAM,Serial ATA,"44,145",10-Oct-13,4,624.99,
2539,"Gaming Desktop - AMD RYZEN 5 1500X 3.5GHz, NVIDIA GTX 1060 6GB Graphics, 16GB DDR4 Memory, 240GB SSD, 1TB HDD, Microsoft Windows 10 Pro 64-Bit, WiFi, VR Ready",Ryzen 5 1500X,16,1 TB flash_memory_solid_state,NVIDIA GeForce GTX 1060,Jeff's Custom Computers,—,AMD,DDR3 SDRAM,Serial ATA-600,"6,108",12-May-15,3.4,849,
2540,"Dell OptiPlex 3060 SFF Desktop Computer with Intel Core i3-8100 3.6 GHz Quad-Core, 4GB RAM, 500GB HDD (4YFD5)",Core i3 8100,4,500 GB Mechanical Hard Drive,Integrated Graphics,Dell,11.57 lbs,Intel,,Serial ATA,"29,343",30-Jun-18,"Be the first to review this item  
0.0",559,
2541,"2019 Dell XPS 8930 VR Ready Gaming Desktop Computer, 8th Gen Intel Hexa-Core i7-8700 up to 4.6GHz, 16GB DDR4, 1TB 7200 RPM HDD + 512GB SSD, GTX 1060 6GB, AC WiFi, Bluetooth 4.2, USB 3.1, Windows 10",Intel Core i7,16,1 TB HDD 7200 rpm,NVIDIA GeForce GTX 1060 6GB GDDR5 Graphics,Dell,22 lbs,Intel,DDR SDRAM,Serial ATA,"25,811",29-Mar-19,"Be the first to review this item  
0.0","1,288.99",
2542,"Blair Technology Group Optiplex 960 Desktop Computer, Intel Core 2 Duo Processor, 4GB RAM, 250GB Hard Drive, DVD, Wi-Fi, Windows 10 (Prepared by BTG)",Core 2 Duo E7500,4,250 GB HDD 7200 rpm,—,Dell,—,Intel,DDR2 SDRAM,Serial ATA,"15,586",10-Oct-18,5,114.99,
2543,"ReCircuit Optiplex 7010 Desktop Computer - Intel Core i7 3.4GHz, 16GB DDR3, New 1TB Hard Drive, Windows 7 Pro 64-Bit, WiFi, USB 3.0, DVDRW, 2X Display Port (Prepared by ReCircuit)",Intel Core i7,16,1 TB 7200,integrated,ReCircuit,15 lbs,Intel,DDR3 SDRAM,Serial ATA,"17,627",11-Sep-17,4.7,623.99,
2544,2018 Dell Inspiron Desktop | Intel Core i3-8100 3.6GHz | 8GB DDR4 RAM | 1TB HDD 7200RPM Hard Drive | Intel HD Graphics 630 | WiFi | Gigabit Ethernet | DVD-RW | Included Mouse & Keyboard | Windows 10,Intel Core i3,8,1 TB HDD 7200 rpm,Intel HD Graphics 630,Dell,10.6 lbs,Intel,SDRAM,Serial ATA,"12,793",27-Sep-18,5,496.92,
2545,"Blair Technology Group Optiplex 780 Desktop, Intel Core 2 Duo CPU, 8GB RAM, 1TB HDD, DVD-RW, Keyboard & Mouse, WiFi, Bluetooth 4.0, Windows 10 Pro, 19"" LCD Monitor (Brand May Vary) (Prepared by BTG)",Core 2 Duo E7500,8,1 TB HDD 7200 rpm,—,Dell,—,Intel,DDR3 SDRAM,Serial ATA,"57,008",9-Oct-18,"Be the first to review this item  
0.0",224.99,
2546,Lenovo ideacentre Y900-34ISZ -Desktop Gaming Computer Razer Edition (Intel Core i7-6700K / NVIDIA GeForce GTX 1080 8GB GDDR5 / 16GB (8GB x 2) / 256GB SSD / 2TB / Windows 10) 90FK001KUS,Core i7 6700,8,256 GB flash_memory_solid_state,NVIDIA GeForce GTX 1080,Lenovo,33.07 lbs,Intel,DDR4 SDRAM,,"13,653",21-Dec-16,"Be the first to review this item  
0.0","1,549.99",
2547,"Dell 2019 Inspiron 3670 Desktop Computer, 8th Gen Intel Hexa-core i7-8700 Up to 4.6GHz, DVDRW, 802.11AC WiFi, USB 3.1, Windows 10, Choose 8GB 16GB 24GB 32GB DDR4, 1TB HDD/ 128GB 256GB 512GB 1TB SSD",Intel Core i7,16,3512 GB,Intel UHD Graphics 630,Dell,31 lbs,Intel,DDR SDRAM,Solid State,"9,788",11-Oct-16,4.5,779,
2548,"CUK ThinkCentre M715 Tiny Business Desktop (Ryzen 5 2400GE, 32GB RAM, 500GB NVMe SSD + 1TB HDD, AMD Radeon RX Vega 11 Graphics, Windows 10 Pro) Small Compact Professional Mini PC Computer",AMD R Series,8,1500 GB flash_memory_solid_state,—,Computer Upgrade King,2.91 lbs,AMD,DDR4 SDRAM,Solid State,"14,697",4-Sep-18,5,799.99,
2549,"OMEN X by HP Gaming Desktop Computer, Intel Core i7-7820X, NVIDIA GeForce GTX 1080, 16GB RAM, 2TB hard drive, 512GB SSD, Windows 10 (900-210, Black)",8032,16,2000 GB Hybrid Drive,NVIDIA GeForce GTX,HP,62 lbs,Intel,,Serial ATA,"101,092",15-Oct-17,"Be the first to review this item  
0.0","1,832.88",
2550,"CYBERPOWERPC Gamer Supreme Liquid Cool SLC10120CPG Gaming PC (Intel i7-9700K 3.6GHz, 32GB DDR4, NVIDIA GeForce RTX 2080 Ti 11GB, 480GB SSD, 3TB HDD, WiFi & Win 10 Home) Black",—,32,3072 GB 7200 RPM SATA III,NVIDIA GeForce RTX 2080 Ti,CyberpowerPC,32 lbs,Intel,GDDR5,Serial ATA-600,"4,721",19-Aug-18,5,"2,679.99",
2551,"2019 HP Pavilion 690 VR Ready Gaming Desktop Computer, AMD Ryzen 5 2400G Quad-Core Up to 3.9GHz, 32GB DDR4, 1TB 7200 RPM HDD + 512GB SSD, AMD Radeon Rx 580, AC WiFi, DVDRW, Bluetooth 4.2, Windows 10",AMD R Series,32,1 TB HDD 7200 rpm,Radeon RX 580 4GB GDDR5,HP,—,AMD,DDR SDRAM,Serial ATA,,2-Apr-19,"Be the first to review this item  
0.0","1,099.00",
2552,"Samsung ArtPC PULSE Desktop 1TB SSD 2TB HD 32GB RAM EXTREME (Intel Core i7-6700K processor - 4.00GHz TURBO 4.20GHz, 32 GB RAM, 1 TB SSD + 2TB HD,Radeon RX460,Harmon Kardon, Win10) PC Computer DP700C6A",Core i7 6700k,32,3 TB flash_memory_solid_state,AMD Radeon,Samsung,7.4 lbs,Intel,SODIMM,Serial ATA,"70,327",24-Dec-16,2.9,"2,599.00",
2553,"HP Pavilion VR Ready Gaming Desktop Computer, AMD Ryzen 5 2400G up to 3.9GHz, 8GB DDR4, AMD Radeon RX 580, 1TB HDD + 128GB SSD (Boot), DVD-RW, USB 3.1, HDMI, Wireless-AC, Bluetooth 4.2, Windows 10",AMD R Series,8,1 TB,AMD Radeon RX 580 Graphics,HP,—,AMD,DDR3 SDRAM,Serial ATA,"9,332",28-Jan-19,"Be the first to review this item  
0.0",710,
2554,"SkyTech [RTX 2080] Oracle X – VR Ready Gaming Computer PC Desktop – Ryzen 7 2700X, RTX 2080 8GB, 240GB SSD, 1TB HDD, 120mm Liquid Cool, 16GB DDR4, Window 10 Home – RGB Fans",AMD Ryzen 7,16,1 TB Hybrid Drive,NVIDIA GeForce RTX 2080,Skytech Gaming,31 lbs,AMD,DDR SDRAM,Serial ATA,"16,998",28-Oct-18,4.2,"1,799.99",
2555,"CUK Stratos VR Ready Gamer PC (Liquid Cooled Intel i7-9700K, 16GB DDR4 RAM, 500GB SSD, NVIDIA GeForce RTX 2070 8GB, 600W Gold PSU, Windows 10) Gaming Desktop Computer with 7 RGB Halo Fans",Intel Core i7,16,500 GB flash_memory_solid_state,NVIDIA GeForce RTX 2070,Computer Upgrade King,30 lbs,Intel,DDR4 SDRAM,Solid State,"27,952",17-Jan-18,3.9,"1,639.99",
2556,"Acer Aspire TC-885-UR19 Desktop Computer, i5 2.8Ghz, 4GB, 1TB HDD, 16GB Intel Optane Memory, Win 10",Intel Core i5,4,1 TB HDD 7200 rpm,—,Acer,—,Intel,DDR DRAM,eSATA,"156,234",6-Aug-18,5,475,
2557,Premium Flagship 2019 Lenovo IdeaCentre 510A High Performance Desktop Computer - Intel Quad-Core i3-8100 >i5-7400 8GB/16GB RAM 128GB to 1TB SSD 2TB HDD DVD Burner Bluetooth 802.11ac HDMI USB-C Win 10,Intel Core i3,4,1 TB HDD 5400 rpm,Intel UHD Graphics 630,Lenovo,12.8 lbs,Intel,DDR SDRAM,Serial ATA,"14,742",22-Mar-19,"Be the first to review this item  
0.0",429,
2558,"ReCircuit Optiplex 9010 Desktop PC - Intel Core i7 3.8GHz, 32GB DDR3, 1TB SSD, Windows 10 Pro 64-Bit, WiFi, USB 3.0, DVDRW, 2X Display Port (Prepared by ReCircuit)",Intel Core i7,32,1 TB SSD,Intel HD Graphics,ReCircuit,15 lbs,Intel,DDR3 SDRAM,Solid State,"101,012",18-Jul-18,"Be the first to review this item  
0.0","1,066.99",
2559,"HP i7 Gaming Computer, Quad-Core i7 Upto 3.8GHz, 16GB RAM, 128GB SSD + 1TB HD, 4K Nvidia GeForce GT 730 Graphics Card 4GB(HDMI, DVI, VGA), WiFi & BT, DVD-RW, USB 3.0, Win 10 Pro(Certifed Refurbished)",Intel Core i7,8,128 GB SSD,Nvidia GeForce GT 730 4GB,HP,—,Intel,DDR3 SDRAM,Solid State,"14,210",21-Feb-19,"Be the first to review this item  
0.0",569,
2560,Adamant Custom 12-Core Liquid Cooled 3D Modelling Solidworks CAD CAM Workstation Desktop Computer Intel Core i9 9920X 3.3Ghz 64Gb DDR4 RAM 4TB HDD 500Gb NVMe SSD Nvidia Quadro RTX 4000 8Gb,3.3 GHz Core i9,32,4 TB,,ADAMANT CUSTOM,,Intel,SDRAM,Serial ATA-600,,12-Apr-19,"Be the first to review this item  
0.0","3,899.99",
2561,10-Core Gaming Computer Desktop PC Tower 2 TB Quad 8GB R7 Graphic Custom Built,AMD A Series,8,2 TB,radeon r7,YL,18 lbs,AMD,DDR3 SDRAM,Serial ATA-300,"84,217",25-Jan-16,"Be the first to review this item  
0.0",389.99,
2562,"OptiPlex 7060 SFF High Performance Desktop Computer with Intel Core i7-8700 3.2GHz 6-core CPU, 64GB RAM, 500GB SSD, Keyboard, Mouse, Windows 10 Professional",Intel Mobile CPU,64,500 GB flash_memory_solid_state,—,AVENTIS,—,Intel,DIMM,Solid State,"154,822",8-Nov-18,"Be the first to review this item  
0.0","1,699.00",
2563,"2018 Lenovo IdeaCentre 720 Desktop Computer, AMD Quad-Core Ryzen 5 1400 up to 3.4GHz, 8GB DDR4 RAM, 512GB SSD, Bluetooth 4.0, 802.11ac WIFI, USB 3.0, HDMI, DVD-RW, Keyboard & Mouse, Windows 10",Ryzen 5 1400,8,512 GB SSD,AMD Radeon R5 340,Lenovo,19.8 lbs,AMD,DDR SDRAM,Solid State,"31,857",9-Apr-18,"Be the first to review this item  
0.0",649,
2564,Custom HDMI Gaming Tower Quad Core i7-2600 (up to 3.8Ghz) / 32GB RAM/New Huge 1TB Solid State Drive/AMD Radeon HD 7670 4GB / Windows 10 Pro/WiFi PC,Core i7-2600,32,1 TB SSD,AMD Radeon HD 7670,Quality Refurbished Computers,—,Intel,DDR3 SDRAM,ATA,"42,107",7-Nov-18,"Be the first to review this item  
0.0",804.95,
2565,Optiplex 990 Intel Quad Core i7-2600 3.4GHz Windows 7 Pro / 32GB RAM/New 512GB Solid State Drive SSD/WiFi/Desktop Computer Tower + MS Office,Core i7-2600,32,512 GB flash_memory_solid_state,—,Quality Refurbished Computers,—,Intel,DDR3 SDRAM,ATA,"134,480",26-Aug-17,5,759.95,
2566,"Adamant Custom Video Editing Rendering Workstation Gaming Computer PC Intel Core i7 9700K 3.6Ghz, 64Gb DDR4, 10TB HDD, 1TB SSD, 850W PSU, Wi-Fi, Blu-Ray, Nvidia GeForce RTX 2080",Intel Core i7,64,11 TB flash_memory_solid_state,NVIDIA GeForce RTX 2080,ADAMANT CUSTOM,—,Intel,SDRAM,Serial ATA-600,"27,579",2-Nov-18,"Be the first to review this item  
0.0","3,199.99",
2567,"Alienware AWAUR6 Premium High Performance Flagship VR Ready Gaming Desktop PC, Intel Quad-Core i5 (up to 3.5GHz), 8GB DDR4, 1TB HDD, 8GB Dedicated AMD RX480 Graphics, DVD, Windows 10 (New)",Intel Core i5,8,1 TB HDD 7200 rpm,8GB RX 480 Dedicated Graphics,Alienware,—,Intel,DDR SDRAM,eSATA,"41,084",23-Jul-18,4.3,899.99,
2568,"2017 Newest Asus G11 Gaming Desktop, Intel Quad-Core i7-6700,3.4GHz (Turbo 4.0GHz), 16GB RAM, 2T HDD+ 512GB SSD, NVIDIA GeForce GTX 980, USB 3.0, WiFi 802.11 a/c, DVD, Media Card Reader, Windows 10",Core i7 6700,16,2 TB SSD,NVIDIA GeForce GTX 980,ASUS,21.56 lbs,Intel,DDR3 SDRAM,Solid State,"36,348",24-Jul-17,4.7,"1,550.00",
2569,"Dell OP7060MTRNX86 OptiPlex 7060 Mini Desktop Computer with Intel Core i7-8700 3.2 GHz Hexa-core, 16GB RAM, 256GB SSD",Intel Core i7,16,Flash Memory Solid State,AMD Radeon RX 550,Dell,17.48 lbs,Intel,,Serial ATA,"11,477",20-Jul-18,"Be the first to review this item  
0.0","1,219.98",
2570,"Dell Optiplex 990 SFF Desktop - Intel Core i5 3.1GHz, 16GB DDR3, New 1TB Hard Drive, Windows 10 Pro 64-Bit, WiFi, DVDRW (Renewed) (Dell 990 SFF)",Intel Core i5,16,1 TB 7200,integrated,Dell,12.57 lbs,Intel,DDR3 SDRAM,Serial ATA,"85,962",15-Feb-19,"Be the first to review this item  
0.0",484.99,
2571,"Dell OptiPlex 3060 SFF Desktop Computer with Intel Core i5-8500 3 GHz Hexa-Core, 8GB RAM, 256GB SSD (KM82W)",8032,8,Flash Memory Solid State,Intel Integrated Graphics,Dell,11.57 lbs,Intel,,,"1,024",4-Jul-18,5,713.99,
2572,"Acer Aspire AT3-710-UR52 Desktop, Intel i5-6400 processor Quad-core 2.70 GHz, 8 GB, DDR3 SDRAM 2 TB HDD Win10 home",Core i5 6400,8,2000 GB SATA,Intel HD Graphics 530,Acer,18.43 lbs,Intel,DDR3 SDRAM,Serial ATA-300,"20,259",10-Jan-15,3.6,459,
2573,"Dell Inspiron 3668 Desktop PC - Intel Core i3-7100, 8GB RAM, 1TB 7200RPM Hard Drive, Intel HD Graphics, DVD, HDMI, USB 3.0, Bluetooth, Windows 10",Intel Core i3,8,1 TB HDD 7200 rpm,Intel HD Graphics 630,Dell,13 lbs,Intel,DDR SDRAM,Serial ATA,"14,581",9-Apr-18,3.6,519,
2574,"CyberPowerPC GXI Gamer Xtreme Desktop Computer - 8th Gen Intel Core i7-8700 up to 4.60 GHz Processor, 64GB DDR4 Memory, 2TB SSD + 2TB Hard Drive, NVIDIA GeForce GT 730, Windows 10 Pro (64-bit)",Intel Core i7,64,4000 GB SSD + HDD 7200 rpm,NVIDIA,CyberpowerPC,32 lbs,Intel,SODIMM,Solid State,,4-Apr-19,"Be the first to review this item  
0.0","2,199.99",
